0,Date,Serial,Model,Service,Status,Location,Part,Event,Notes
83,11/27/2018,CND6230MPX,Zbook 15 G3,Part Replacement,Complete,VEC,808452-002,XC31562853,Battery: Deep discharge
84,11/27/2018,CND610452H,Zbook 15 G2,Part Replacement,In Progress,VEC,,,Screen intermittently doesn’t work
85,11/29/2018,CND8297K8Y,Zbook 15 G3,Labor Only,Complete,VEC,,,Fan error (90F); Updated BIOS
86,11/29/2018,CND7374TJQ,Zbook 15 G3,Labor Only,Complete,VEC,,,No power; Reset power
87,11/29/2018,CND6315C9M,Zbook 15 G3,Labor Only,Complete,VEC,,,No power; Reset power
88,12/4/2018,CND82603NT,Zbook 15 G3,Labor Only,Complete,VEC,,,No boot. It boots.
89,12/4/2018,CND7374SX3,Zbook 15 G3,Labor Only,Complete,VEC,,,No power response. Reset power.
90,12/4/2018,CND812997H,Zbook 15 G3,Labor Only,Complete,VEC,,,No boot. Battery was fully discharged.
91,12/4/2018,CND7374T6M,Zbook 15 G3,Labor Only,Complete,VEC,,,Doesn’t wake from sleep. Updated BIOS.
92,12/4/2018,CND6230MLJ,Zbook 15 G3,Labor Only,Complete,VEC,,,No Display. Display Ok. Missing hard drive.
93,12/4/2018,5CG6094WJ2,840 G2,Part Replacement,Complete,VEC,756749-001,XC31597085,Wifi doesn’t work
94,12/6/2018,5CG8241Y6B,840 G5,Labor Only,Complete,VEC,,,Delete key doesn’t work. Yes it does. Probably power reset resolved.
95,12/6/2018,5CG8224KZQ,840 G5,Labor Only,Complete,VEC,,,HDMI port not working. It works.
96,12/6/2018,CND836BH31,Zbook 15 G3,Part Replacement,Parts Ordered,VEC,848311-001,XC31610794,1 key popped off numpad
97,12/6/2018,CND836BG2W,Zbook 15 G3,Part Replacement,Parts Ordered,VEC,848221-601,XC31610752,HDMI port not working.
